,paper,subtopics
1146,120562,5-47
1147,120564,26-28
1148,120674,1-2-51
1149,120837,12-18-25
1150,120880,10-34
1151,120965,9-32
1152,120966,8-14-25-29
1153,120968,26-36
1154,120978,25-27-31-32-41-53
1155,121043,3-25-47
1156,121044,2-31
1157,121045,26-36-53-55
1158,121047,42-30-16-55
1159,121048,2-23-31
1160,121051,26
1161,121052,7-30-31-37-41
1162,121053,42-19-17-16-47
1163,3,4
1164,121055,2-31-49
1165,1,4
1166,121088,56
1167,121166,2-25-31-49
1168,121175,22-9-8-26
1169,121177,26-25-16-42
1170,121306,9-23-41
1171,121308,10-22-55
1172,121327,25-41-52
1173,121329,2-31-53
1174,121340,30-25-19-16-38-42
1175,121348,8-9-14-27-49
1176,121365,7-25-51
1177,121382,42-26-16-53
1178,121392,8-22-23-32-52-54
1179,121401,6-36-52
1180,121404,30-25-16-42
1181,121413,8-38-49
1182,121434,20-26
1183,121439,14-31-37
1184,121533,53-40-25-15-5
1185,121548,9-22
1186,121552,6-31-36
1187,121555,3-25-37
1188,121577,42-27-23-56
1189,121584,9
1190,121586,26-16-42
1191,121591,8-22
1192,121592,1-2-31-32-46-47-49-51
1193,121593,37-16-7-42
1194,121594,1-2
1195,121595,1-2-7-39-52
1196,121596,3-36
1197,121602,2-26
1198,121606,26-55
1199,1,4
1200,121620,2-6-35
1201,121623,2-35-38-53
1202,3,1
1203,121627,6-2-52
1204,121631,25
1205,121632,2-6-35
1206,121634,26
1207,121635,9
1208,121637,3-25-26-28-30-31-39
1209,121638,23-28-30-31-47-51
1210,121639,2-25
1211,121640,8-14-23-25
1212,121643,25-47
1213,4,2
1214,121646,23-21-19-3-26
1215,121647,8-9-16
1216,121648,30-27-25-16-42
1217,121649,30-16-42
1218,121650,26-31-41-49-51
1219,121651,42-16-55
1220,4,2
1221,121654,16-27-31
1222,121655,32-41-52
1223,121656,2-8-30
1224,121657,22-23-24-25-26-27-28-55
1225,121658,29-25-47
1226,121659,42-25-16-47
1227,121660,25-53
1228,121661,25-41
1229,121663,21-49
1230,121664,2-52
1231,121665,23-25-27-39-55
1232,121666,36-53-55
1233,121670,2
1234,121671,26-31-50-53
1235,121672,36-26-42
1236,121673,14-25-32-52-53-54
1237,121674,3-9-25-36-53
1238,121675,21-24-26-32-41-49
1239,121677,5-9-52
1240,121679,23-25-41
1241,121680,13-21-27-28
1242,121682,27-2-43
1243,121683,22-30
1244,121684,9-25-47
1245,121685,51-42-33-30-16-53
1246,121687,54-42-25-16-55
1247,121688,9-27-32
1248,121690,8-25-32
1249,121691,52-42-16-55
1250,2,4
1251,121695,9-47
1252,121696,9-22-23-32
1253,3,4
1254,121698,31-41
1255,121699,2-35
1256,121700,2-23
1257,121702,23-28-37-45
1258,121703,27-51
1259,121704,12
1260,121705,22-25
1261,121706,3-25-36
1262,121707,34-37
1263,121708,2-12-25
1264,121709,9
1265,121724,52
1266,121726,55
1267,121735,4-13-26
1268,121749,39-52
1269,121750,8-9-19-52
1270,121751,2-55
1271,121764,11-23-26-41
1272,121765,55
1273,121775,2-52
1274,121785,53-25-9-55
1275,121801,2-6-21-30-36
1276,121802,1-2-6-25-30-47
1277,121809,25-56
1278,121810,25-31-37-53
1279,121819,36
1280,121825,21-32
1281,121827,52-47-42-25-16-54
1282,1,4
1283,121835,13-23-30-36-41
1284,121836,9-23-53
1285,121844,2-53
1286,121872,31-27-16-42
1287,121932,31-19-16-8-42
1288,121968,3-52
1289,132694,2-6-35-55
1290,133296,56
1291,2,4
1292,133797,26-36-53-55
1293,133801,13-26-55
1294,133859,2-38-52
1295,133949,1-36
1296,133992,2-6-25
1297,134040,45-49
1298,134258,2-17-36-52
1299,134351,41-22-55
1300,134358,16-26-42-53-54
1301,134374,17-29-34-55
1302,134376,5-7-22-53
1303,134377,22-49-55-56
1304,134378,2-53
1305,134386,8-9-53
1306,134402,17-42-47-52
1307,134403,10-47-48
1308,134419,16-26-30-52
1309,134420,26-28
1310,134421,28-36
1311,134431,26
1312,134433,23-49-52
1313,134437,14-17-25-42-55
1314,134438,23-31-36
1315,134445,8-33
1316,134446,42-22-53
1317,134449,3-55
1318,134484,8-10-16-42
1319,134499,2-17-47
1320,134501,2-11-55
1321,134505,21-22
1322,134509,1-2-23-35-51
1323,134511,39-48-52
1324,134513,1-6-30-52
1325,134515,9-10-47-53
1326,134519,26-54-56
1327,134523,2-32-39-54
1328,134536,26-42
1329,1,2
1330,134538,2-6-22-30-51-52
1331,134539,8-47
1332,134540,51-52
1333,134541,8-22-52
1334,134544,2-13-19-25-49
1335,134556,8-17-22-51
1336,134566,8-23-25
1337,134585,2-53
1338,134591,9-23-31-53
1339,134605,16-48-52
1340,134606,26-51-52-53-55
1341,134607,8-9-10-25-29
1342,134608,9-41-49
1343,134609,9-17-25
1344,134612,2-23-51-52
1345,134616,18-25-47
1346,134620,9-10-33-36
1347,134627,53-52-42-25-16-12
1348,4,3
1349,134647,8-42-53-55
1350,134658,17-16-42
1351,134689,27-41-47-53
1352,134690,9-17-47
1353,4,3
1354,134707,28-41-51
1355,135326,2-6-46-52
1356,135368,10-17-23-27-29-52
1357,135419,25-29-47-55
1358,135438,26-32-47
1359,135562,8-17-35-47
1360,137132,2-25-36-52-54
1361,137169,13-43
1362,137257,22-29-49-56
1363,137262,3-26-53
1364,137270,16-17-26-42
1365,137273,16-35-42-52
1366,137274,26-55
1367,4,3
1368,137283,3-55-56
1369,137284,2-53
1370,137285,16-22-23-41-53
1371,137287,56
1372,3,1
1373,137292,7-45-53
1374,137294,7-12-41-52
1375,137295,4-5-53
1376,137305,23-25-51
1377,137306,2-17-31-49
1378,137311,23-37
1379,137312,6-35-49-53
1380,137313,19-56
1381,137319,2-12
1382,137320,47-25-21-53
1383,137322,3-23-34-55
1384,137324,16-25-42-49-56
1385,137331,16-19-42
1386,137332,53-42-41-12
1387,137335,9-22
1388,137337,2-12-25-31-41
1389,137338,8-16-27-54
1390,137339,21-22-47
1391,137342,9-23-54
1392,137354,2-9-25-26-53
1393,137357,9-25-46-53
1394,137358,7-23-31-39-52
1395,137374,9-22-53
1396,137382,2-29-30-35-47-52
1397,137383,12-18-39-52
1398,137386,53-17-9-8-2
1399,137387,9-22-23
1400,137388,16-27-31-52
1401,137389,41-53
1402,137390,26-53
1403,137391,26-53
1404,137393,2-3-12-30-53-55-56
1405,137394,10-51-52
1406,137397,55-53-49
1407,137398,53-23-9-8
1408,137400,2-25-55-56
1409,137403,17-25-32-36
1410,1,4
1411,137407,3-25
1412,137408,8-22-30-51-53-54
1413,137410,53-52-51-36-35-22-2
1414,137411,47-4-2
1415,137413,16-17-42-56
1416,137414,16-34-37-42-55
1417,137415,12-18-31-49-52
1418,137417,2-25-47-52
1419,137419,8-12-25-47
1420,137420,17-42-54
1421,137422,9-21-27-32
1422,137425,2-52-53-54
1423,137427,25-26-51-52
1424,137428,10-19-21
1425,137429,52
1426,137430,2-36-52
1427,137431,17-12-9-47-52
1428,137432,16-17-23-24-47-51
1429,137433,2-9-31-53
1430,137434,9-25-53-55
1431,137436,47-45-10-9
1432,137437,26-54-56
1433,137438,2-35-36-53
1434,137439,9-53-54
1435,137442,41-42-55
1436,137446,26-55-56
1437,137448,19-23-31
1438,137449,8-9-16-23-29-54
1439,137450,10-25-36-53
1440,137451,10-36-37-53
1441,137452,9-12-47
1442,137453,43-53-54
1443,137454,16-17
1444,137455,41-23-44
1445,137456,9-19-23-56
1446,137458,30-42
1447,137459,52-25-3
1448,137461,6-7-8-41
1449,137462,16-27-42
1450,137463,22-51
1451,137464,21-25-34-54-55
1452,137465,55-31
1453,137468,7-9-22-52
1454,137469,25-38-43-49
1455,137470,7-17-25-55
1456,137472,12-41-51-52
1457,4,2
1458,137475,12-52
1459,137476,47-42-17-16-8
1460,137477,16-41-42-53
1461,137481,3-9-25-36
1462,137483,23-36-53-54
1463,3,4
1464,137485,9-31
1465,137486,8-9-16-23-36-53-54
1466,137487,8-47-48
1467,137488,2-36
1468,137490,23-54
1469,137493,9-11-26-53
1470,3,2
1471,137498,1-12-18-23-52
1472,137500,9-12-17-47-52
1473,137503,5-11-30
1474,137504,25-30-49-52
1475,137506,6-22-43-53
1476,137508,3-16-25-42-56
1477,137513,8-17-19-47
1478,137516,8-9-17-36-53
1479,137517,19-38-42
1480,137518,22-31-53
1481,137522,6-26-43-52
1482,137525,1-2-23-31
1483,137531,17-25-56
1484,137595,48-18-16
1485,137597,26-36-53-54
1486,137598,22-41
1487,137611,5-9-23-29-47
1488,1570103915,16-20-26
1489,1570116033,46-18-52
1490,1570142765,7-12-23-39-42-52
1491,1570148463,14-36-54
1492,3,2
1493,1570151553,10-14-17-49
1494,1570153299,6-30-43-56
1495,1570153915,8-9-17-49-52-55
1496,1570154833,2-38-53
1497,1570154881,12-25-52-54
1498,1570155331,12-54
1499,1570158015,6-36-52
1500,1570158711,47-18-12
1501,1570158951,2-23-53
1502,1,4
1503,1570160455,52-26-9-53
1504,1570160459,3-26
1505,1570160515,8-14-17-19-23-27-47
1506,1570160519,9-26-49-52-53-56
1507,1570161213,28-53-56
1508,2,1
1509,1570161747,8-17-25-47-53
1510,1570162089,2-4-53
1511,1570162547,42-31-30-23-19-55
1512,1570162837,9-25-27
1513,1570163017,17-22-42-43-44
1514,1570163137,23-25-41-49-51-55
1515,1570163151,9-42-53
1516,1570163515,55-56
1517,1570163595,2-6-37-55
1518,1570163599,26-51-55
1519,1570163615,54-56
1520,1570163689,3-22-49-56
1521,1570163711,28
1522,1570163749,52-25-12
1523,1570163781,26-53-55
1524,1570163791,23-31-41-53
1525,1570163807,2-22-36
1526,1570163815,8-9-16-32-43-54
1527,1570163819,3-41-45-56
1528,1570163857,16-17-42
1529,1570163963,22-26-31-51
1530,1570163993,2-35-52
1531,1570164031,53-52-42-25-16
1532,4,1
1533,1570164177,8-25-47-52
1534,1570164227,25-35-43
1535,1570164477,25-42-47-52
1536,1570164527,8-9-19-42
1537,1570164595,16-28-53-54
1538,1570164667,26-41
1539,1570164703,21-22-31-49
1540,2,4
1541,1570164825,12-16-17-47-52
1542,1570164883,41-54
1543,1570164893,36-39-52
1544,1570165025,16-17-33-53
1545,1570165117,26-39-53-55
1546,1570165123,3-26
1547,1570165141,2-18-25-38-39-52
1548,1570165157,2-38-54
1549,1,2
1550,1570165193,9-22
1551,1570165195,12-48
1552,1570165213,9-12-18-49-52
1553,1570165215,21-53
1554,1570165239,9-22-31-52
1555,1570165241,8-26-30-54
1556,1570165269,52-53
1557,1570165321,30-36
1558,1570165361,9-26-41-49-53
1559,1570165423,14-41-42
1560,1570165505,9-25
1561,1570165805,16-25
1562,1570169283,8-9-17-33-36-47-48-52
1563,1570171149,10-17-52
1564,1570171569,38-53
1565,1570171627,36-44
1566,1570172025,42-31-25-17-12-54
1567,1570172041,7-31-41
1568,1570172335,21-36-45
1569,1570172433,53-25-18-55
1570,1570172565,3-9-10-26
1571,1570172623,26-55
1572,1570172683,9-23-53
1573,1570172717,5-9
1574,3,1
1575,1570172831,12-18-31-52
1576,1570172833,12-16-42-43
1577,1570172843,9-22
1578,1570179447,9-25-53-54
1579,1570189415,9-26-31
1580,1570191545,9-23-30-36-53
1581,1570192701,2-9-29-52
1582,1570196545,9-23-53
1583,1570196567,9-26-53
1584,1570196959,2-9-53
1585,1570197151,9-53-54
1586,1570197477,9-29-32
1587,1570203415,2-8-25
1588,1570205747,4-8-9-47-53
1589,1570206129,2-8-47-52
1590,1570206201,9-22-52
1591,1570206425,9-23-53-54-55
1592,1570206449,9-17-23-29-30
1593,1570206455,8-9-23-45
1594,1570206511,8-9-23-47
1595,1570206621,9-16-19-49
1596,1570206661,9-47
1597,1570206671,2-8-16-35-38-42
1598,1570207185,8-9-36-53
1599,148452,2-35
1600,148484,49-47-11-52
1601,148518,43-7-53
1602,148534,42-27-17-14-10-52
1603,148538,21
1604,148605,26
1605,148607,13-26
1606,148608,26
1607,4,2
1608,148795,2-35
1609,148808,9-26
1610,148969,30-25-2-53
1611,148970,25-2-55
1612,148992,31
1613,149060,49-41-22-52
1614,149103,13-12-36
1615,149107,26-28-31
1616,149109,26
1617,1,3
1618,149123,12-44-55
1619,149188,16-19-31-42
1620,149269,2-42
1621,149305,9-26
1622,149348,36-52
1623,149543,26
1624,149549,12
1625,149551,56-26
1626,149552,3-55
1627,149557,8-14-19
1628,149562,2-36
1629,149564,7-30
1630,149571,2-35-51
1631,149577,2
1632,149581,9-26
1633,149583,1-2-8-49-54
1634,149585,22-30-47-52
1635,149586,26
1636,149590,17-8
1637,149597,2-25-31
1638,149612,2-12
1639,149613,17-10-8-27
1640,149618,1-49
1641,149619,32-48
1642,149621,5-25
1643,149622,1-25
1644,149623,2
1645,149624,52-22-9
1646,149631,17-23-31
1647,149632,2-8
1648,149633,2-47
1649,149634,41-43
1650,149635,9-30
1651,149636,2
1652,149638,9-22-23-24-25-26
1653,149640,2-28-56
1654,149643,3-9
1655,149644,44-55
1656,149645,25-36-55
1657,149646,56-53-21
1658,149647,9-17-47
1659,149649,2-9
1660,149650,2-26
1661,149652,22-9-53
1662,149653,17-23-41
1663,149654,12-27-36
1664,149659,26-49-53
1665,149661,8
1666,149664,9-22-55
1667,149665,52-42-27-55
1668,149666,26-56
1669,149669,9-10
1670,149673,52
1671,149675,9-26
1672,149676,9-26-31
1673,149681,2-25-47
1674,149683,26
1675,149685,6-2-17-47
1676,149688,14-26
1677,2,1
1678,149724,12-25-26
1679,149729,25-31-53
1680,149804,2-9-42
1681,149805,8-9
1682,149806,1-26
1683,149807,9-26
1684,149817,49-42-19-17-16-53
1685,149837,3-31
1686,149844,2-30-36-47
1687,149854,2-25
1688,149857,2-31
1689,149879,26
1690,149889,9
1691,149965,2-6-35-36
1692,149986,8-17-22
1693,150003,2-47-51-52
1694,150005,2
1695,150007,13-26
1696,150012,53-56
1697,150019,34-9-35
1698,150025,9-43
1699,150037,18-2-49
1700,150038,19-8-47
1701,150043,26-36
1702,150050,22
1703,150051,27-30-32-42
1704,150065,9-41
1705,150068,2-30-52
1706,150069,25
1707,150070,12-14-16-17-42
1708,150071,56-41-31-26
1709,150072,9
1710,150073,8-9-32
1711,150074,10-14-16-42
1712,150077,26-31
1713,150080,42-25-52
1714,150081,11-26-30
1715,150082,8-17-47
1716,150086,42-19-17-16-14
1717,150087,2
1718,150091,3-30-33
1719,150094,25-22-9-29
1720,150095,26-35-43
1721,150098,26
1722,150099,16
1723,150101,26-13-49
1724,150104,41-35-31-2-47
1725,150105,26
1726,150107,1-31
1727,150108,2-31
1728,3,1
1729,150111,30-38
1730,150116,7-26
1731,150117,2-5-17
1732,150119,8-9-20-30
1733,150121,35-2
1734,150122,26-9-49
1735,150123,26
1736,150126,10-25-30-33-49
1737,150128,56
1738,150130,3-28-56
1739,150133,25-8-31
1740,150134,24-28-36
1741,150135,9-25
1742,150136,16-26-27-42
1743,150137,2-8
1744,150138,43-55
1745,150139,19-17-42-53
1746,2,1
1747,150152,9-33
1748,150158,11-26-43-47
1749,150160,9-26-33
1750,150167,23-25-26
1751,150168,8-26-31-42
1752,150172,8-9-29
1753,3,2
1754,150381,16-25
1755,150392,9-35
1756,150419,23-43
1757,150425,26
1758,3,2
1759,150429,42-24-16-14
1760,150431,26-33-41
1761,150434,8
1762,150439,8-47
1763,150452,2-12-27-53
1764,150454,10-22-23-24-35
1765,150457,10-2
1766,150464,12-25
1767,150466,44
1768,150467,8-9-17
1769,150469,6-41
1770,150470,2
1771,2,1
1772,4,3
1773,150480,2-31-38-42
1774,150481,3-9
1775,1,4
1776,150485,26
1777,150486,22
1778,150488,27-36
1779,150492,26-11-52
1780,150495,8-47
1781,150500,8-9-26
1782,150503,9-30
1783,150506,8-9-24-29-53
1784,150510,2-12
1785,150520,41
1786,150521,8-10-17-47
1787,1570264305,21
1788,1570266846,44
1789,1570279490,19
1790,1570279863,35-10-56
1791,1570280496,9
1792,1570280503,2-49
1793,1570280507,25-31
1794,1570280653,25
1795,1570280956,30-9-52
1796,1570281384,31-2-52
1797,1570281399,18-12-49
1798,1570281683,55
1799,1570281917,2-35
1800,1570281979,14-42
1801,1570282045,2-42
1802,1570282054,26-33
1803,1570282110,26
1804,1570282141,2
1805,1570282185,8-9-16-42
1806,1570282203,26-30-43
1807,1570282229,26-2-36
1808,1570282235,2
1809,1570282295,22-25-27-30
1810,1570282329,55-56
1811,1570282349,27-9-47
1812,1570282597,30
1813,1570282605,8-10-22
1814,1570282648,9-22-26
1815,1570282670,13
1816,1570282704,7
1817,1570282719,13-26-36
1818,1570282724,21-26
1819,1570282726,49-56
1820,1570282859,2-6
1821,1570283452,8-17-49
1822,1570285094,8-17
1823,1570285572,27-25-35-42
1824,1570285669,10
1825,4,2
1826,1570285917,2-31-35
1827,1570285991,26-53-55
1828,1570285998,2-25
1829,1570286288,16
1830,1570286355,9-51
1831,1570286719,2-52
1832,1570287099,53-55
1833,1570287120,9-26
1834,1570287214,26-30-55
1835,1570287245,9-10-27
1836,1570287289,14-16
1837,1570287291,9-27-56
1838,1570287314,26-42
1839,1570287330,2-18
1840,1570287340,9-55
1841,1570287522,35-52
1842,1570287526,5-9-22
1843,1570287530,22
1844,1570287577,9-23
1845,1570287662,8-9-27-42
1846,1570287677,9-32
1847,1,2
1848,1570287743,12-36
1849,1570287767,26
1850,1570287768,9-10-25
1851,1570287772,17-8-49
1852,1570287791,26-36
1853,1570287799,31-52
1854,1570287802,26-42
1855,1570287809,12-36
1856,1570287816,13-26
1857,1570287842,9-8-46-51
1858,1570287850,9
1859,1570287851,10-14-17
1860,1570287862,16-22
1861,1570287867,21
1862,1570287869,8-9-23-33
1863,1570287870,26-9-8-52
1864,1570287871,22
1865,1570287875,11-26
1866,1570287882,2-1-42
1867,1570288476,8-9-52
1868,1570289597,6-43-47
1869,1570290049,23-26-43
1870,1570290180,55
1871,1570290312,16-27-35
1872,3,2
1873,1570290691,2
1874,1570290750,13-25
1875,1570290762,8-17
1876,1570290785,28
1877,1570290823,42-9-47
1878,1570290922,42-43
1879,1570290966,51-13
1880,1570290979,9-26
1881,1570291023,9-8-27
1882,1570291071,11-35-47
1883,1570291076,9-33
1884,1570291080,12-35-36
1885,1570291117,2-35-42
1886,1570291125,2-53
1887,1570291141,2-25
1888,1570291156,9-26-56
1889,1570291162,22
1890,1570291169,55
1891,1570291185,44-10-55
1892,1570291188,16-42
1893,1570291200,21
1894,1570291208,49-53
1895,1570291865,9-35-49
1896,1570310177,53-55
1897,162248,2-35-52
1898,162329,28-56
1899,163263,53-67-9-55
1900,163298,25
1901,163314,2-6
1902,163315,47-49
1903,163316,2-35-39
1904,163317,6
1905,163318,6
1906,1,2
1907,163320,56
1908,163324,32-16-42
1909,2,4
1910,1,4
1911,163693,18-27-64-12-9-67
1912,163701,48
1913,4,3
1914,163773,2-27
1915,163777,2-5
1916,163778,26-63-64-43-52
1917,163779,7-53
1918,163782,39-55
1919,163783,42-16
1920,163786,53-25-14
1921,163787,26-34
1922,163788,68-8-47
1923,163793,2-7-47-51
1924,163795,25-9-67
1925,163803,4-25-51-52
1926,163809,2
1927,163812,25-9-67
1928,163817,21-53
1929,163823,52-19-8
1930,163827,10-32
1931,163828,12-39
1932,163832,16-30-42
1933,NA,NA
1934,163846,32-30-22-9-67-52
1935,163847,2-53
1936,163848,52-67-9
1937,163849,2-22
1938,163850,2-31-47
1939,163852,22-8-68
1940,163854,36-3-55
1941,163856,53-28-56
1942,163857,19-17-27-8
1943,163861,22-8-68
1944,163862,68-67-9-8-2
1945,163863,25-55
1946,163864,12-9-67
1947,163866,42-16-8-2-68
1948,163871,67-9-55
1949,163872,42-27-16-52
1950,163873,55
1951,163878,2-22-49
1952,163880,53-67-31-27-9
1953,163894,26-43
1954,163895,67-35-9-53
1955,163898,22-9-8-68
1956,163901,8-2-68
1957,163904,22
1958,163906,27-9-67
1959,163907,9-26-53
1960,163910,67-25-9-53
1961,163912,21
1962,3,4
1963,163915,12-18
1964,163916,33-26-52
1965,163917,63-31
1966,1,3
1967,163922,2-43
1968,163925,54-3
1969,163926,47
1970,163927,11-22
1971,163928,9-2-67
1972,163929,35
1973,163931,36-66-7-52
1974,163932,25
1975,163933,68-31-8-52
1976,163934,67-9-52
1977,163937,25-8-68
1978,163940,19-31-26-64-9-8-67-68
1979,163943,9-67
1980,163944,66
1981,163946,27-22-9-67
1982,163948,52-26-64-53
1983,163950,67-22-9-52
1984,163951,2-55
1985,163952,39
1986,163953,25-33-53
1987,163955,32-26-9-8-67
1988,163956,36-9-8-67-68
1989,163961,2
1990,163965,8-2-68
1991,163966,32-8-68
1992,163968,55-42-25
1993,163969,67-9-47
1994,163971,3-8-10
1995,163972,36
1996,163973,26-9-67
1997,163975,42-33-17-16-53
1998,163981,55
1999,163982,64-26
2000,163985,7-16-27-42
2001,163996,25-49
2002,163998,33-55
2003,164005,26-9-67
2004,164127,26-56
2005,164140,21-48
2006,164154,2-22-31-52
2007,164170,63-8-29
2008,164195,19-17-8-68
2009,164196,16-42
2010,164198,1-51
2011,164207,68-17-66-8-47-52
2012,164209,47-27-14-10
2013,164210,9-67
2014,164211,7-12
2015,164212,36-52
2016,164213,10-9-67
2017,164214,30-52-53
2018,164216,64-6-35
2019,164217,33-31-26-64-9-67
2020,164218,26-64-53
2021,164220,25-49
2022,164221,2-25
2023,164222,26
2024,164224,26-66-64-42
2025,164225,67-27-9
2026,164230,35-9-67
2027,164234,53-67-30-9-55
2028,164238,9-2-67
2029,164240,67-31-22-11-9
2030,164241,10-47-52
2031,164242,20-42
2032,164258,30-41
2033,164306,67-9-56
2034,164310,14-16-27-42-49-52
2035,164312,67-33-9-52
2036,164318,9-2-53
2037,164323,40-52
2038,164328,63-6-52
2039,164336,47-49
2040,1570165185,7-32-52
2041,78213,3-29-41
2042,62547,20-21-23
2043,1570172747,41-17-16-47
2044,1570287741,26-32
2045,150478,25-39
2046,137494,14-16-25-53-55
2047,73454,4
2048,137290,23-53-54
2049,62179,2-25-31
2050,108813,25-2-1-30
2051,137473,4-16-42
2052,150427,8-9
2053,73993,3-31-32
2054,106992,16-42
2055,93994,41-54
2056,1570164757,31-17-47
2057,137405,41-56
2058,134644,9-25-53-54
2059,137275,49-53
2060,121626,14-25-27-31-46-47
2061,121059,6-10
2062,133304,3-22-26-31
2063,101087,9-10
2064,99335,31-37-55
2065,62458,22-25-30
2066,94009,6
2067,108730,12-16-17-42
2068,137484,9-26-53
2069,121834,6-32-52
2070,2,3
2071,134537,53-36-9
2072,163918,63-12-27
2073,108688,30-49
2074,108132,9-10-31
2075,108131,2-23-25
2076,107307,22-36
2077,93955,10-25-55
2078,121652,12-25-36-38-49
2079,74073,3-49
2080,1570290687,9
2081,121645,48-52-54
2082,121693,9-37-55
2083,150110,22-9-52
2084,148735,52-27-25-55
2085,1570159731,26-32-53
2086,74028,31
2087,78062,2-5-30
2088,80879,16
2089,62512,3-12-30-36
2090,149696,2-35-53
2091,1570164061,12-18-53
2092,108704,24-26-42-53
2093,149122,39-27-12-52
2094,73452,27-42
2095,108770,4-29-31
2096,108789,16-21-42
2097,93949,12
2098,84239,15-22-30
2099,93378,8-16
2100,121697,3-23-36
2101,99083,2-35-36-47
2102,108803,7-17-37
2103,1,2
2104,163913,9-2-67
2105,78490,21-26
2106,94081,4-26
2107,80681,21-25-31
2108,62421,13-41
2109,1570285687,31
2110,163319,36-52
2111,1570149801,12-18-25-53
2112,121617,47-42-16-14-52
2113,107178,2-31-35
2114,94101,21-25-27-45
2115,1570161239,26-2-36
2116,150175,5-17-31-42
2117,163528,42-47
2118,94055,30-29
2119,163461,1-36
2120,84318,23-32
2121,163769,18-9-67-47
2122,150484,9-10-21-25-41-46
2123,108804,10-14-16-23-36-37
2124,121054,24
2125,150472,30-8-32
2126,98344,5-47
2127,150143,9-27
2128,134694,2-23-31-49
2129,61860,25-31-41
2130,163833,31-26-64-16-42
